metro_name,state,latitude,longitude
"Akron, OH",OH,41.081199,-81.51883769999999
"Albany-Schenectady, NY",NY,42.7909727,-73.9196316
"Albuquerque, NM",NM,35.0843859,-106.650422
"Allentown, PA-NJ",PA-NJ,40.6022939,-75.4714098
"Atlanta, GA",GA,33.7501275,-84.3885209
"Austin, TX",TX,30.267153,-97.7430608
"Bakersfield, CA",CA,35.3735112,-119.0204707
"Baltimore, MD",MD,39.2905023,-76.6104072
"Baton Rouge, LA",LA,30.4514677,-91.18714659999999
"Birmingham, AL",AL,33.5185892,-86.8103567
"Boston, MA-NH-RI",MA-NH-RI,41.5800945,-71.4774291
"Bridgeport-Stamford, CT-NY",CT-NY,41.211842,-73.2057595
"Buffalo, NY",NY,42.88690039999999,-78.8788896
"Cape Coral, FL",FL,26.6297378,-81.9597375
"Charleston-North Charleston, SC",SC,33.1260618,-80.0087746
"Charlotte, NC-SC",NC-SC,35.2270768,-80.84089329999999
"Chicago, IL-IN",IL-IN,41.88325,-87.6323879
"Cincinnati, OH-KY-IN",OH-KY-IN,37.8393332,-84.2700179
"Cleveland, OH",OH,41.49932,-81.6943605
"Colorado Springs, CO",CO,38.8353142,-104.8216009
"Columbia, SC",SC,34.0008322,-81.035147
"Columbus, OH",OH,39.9625112,-83.0032218
"Concord, CA",CA,37.9817195,-122.025904
"Dallas-Fort Worth-Arlington, TX",TX,32.7078751,-96.9209135
"Dayton, OH",OH,39.7592225,-84.1936144
"Denver-Aurora, CO",CO,39.5142848,-104.8454619
"Detroit, MI",MI,42.32971819999999,-83.0424533
"El Paso, TX-NM",TX-NM,31.7618778,-106.4850217
"Fresno, CA",CA,36.7377981,-119.7871247
"Grand Rapids, MI",MI,42.9704146,-85.6721946
"Hartford, CT",CT,41.7658043,-72.6733723
"Houston, TX",TX,29.7600771,-95.37011079999999
"Indianapolis, IN",IN,39.76909,-86.158018
"Jacksonville, FL",FL,30.3297566,-81.6591529
"Kansas City, MO-KS",MO-KS,39.0997265,-94.5785667
"Knoxville, TN",TN,35.965266,-83.923304
"Las Vegas-Henderson, NV",NV,36.0395247,-114.9817213
"Los Angeles-Long Beach-Anaheim, CA",CA,34.0522166,-118.2436619
"Louisville/Jefferson County, KY-IN",KY-IN,38.2468618,-85.7663724
"McAllen, TX",TX,26.2034071,-98.23001239999999
"Memphis, TN-MS-AR",TN-MS-AR,35.0387247,-89.8505012
"Miami, FL",FL,25.7616798,-80.1917902
"Milwaukee, WI",WI,43.0410344,-87.9096783
"Minneapolis-St. Paul, MN-WI",MN-WI,43.7844397,-88.7878678
"Mission Viejo-Lake Forest-San Clemente, CA",CA,33.4273521,-117.6126004
"Nashville-Davidson, TN",TN,36.1626638,-86.7816016
"New Haven, CT",CT,41.308274,-72.9278835
"New Orleans, LA",LA,29.9508941,-90.07583559999999
"New York-Newark, NY-NJ-CT",NY-NJ-CT,40.7315293,-74.1744671
"Oklahoma City, OK",OK,35.4688692,-97.519539
"Omaha, NE-IA",NE-IA,41.3193616,-96.0142238
"Orlando, FL",FL,28.5383832,-81.3789269
"Philadelphia, PA-NJ-DE-MD",PA-NJ-DE-MD,39.9525839,-75.1652215
"Phoenix-Mesa, AZ",AZ,33.3089787,-111.6559353
"Pittsburgh, PA",PA,40.4386612,-79.99723519999999
"Portland, OR-WA",OR-WA,45.515232,-122.6783853
"Providence, RI-MA",RI-MA,41.8245558,-71.414199
"Raleigh, NC",NC,35.7795897,-78.6381787
"Richmond, VA",VA,37.5407246,-77.4360481
"Riverside-San Bernardino, CA",CA,34.9592083,-116.419389
"Rochester, NY",NY,43.15657789999999,-77.6088465
"Sacramento, CA",CA,38.5781342,-121.4944209
"Salt Lake City-West Valley City, UT",UT,40.6916132,-112.0010501
"San Antonio, TX",TX,29.4251905,-98.4945922
"San Diego, CA",CA,32.715738,-117.1610838
"San Francisco-Oakland, CA",CA,37.8043514,-122.2711639
"San Jose, CA",CA,37.33874,-121.8852525
"San Juan, PR",PR,38.7945952,-106.5348379
"Sarasota-Bradenton, FL",FL,27.336465,-82.5310117
"Seattle, WA",WA,47.6061389,-122.3328481
"Springfield, MA-CT",MA-CT,42.1013104,-72.58927419999999
"St. Louis, MO-IL",MO-IL,38.62742799999999,-90.1982439
"Tampa-St. Petersburg, FL",FL,28.274347,-82.38857829999999
"Toledo, OH-MI",OH-MI,41.6528052,-83.5378674
"Tucson, AZ",AZ,32.2539787,-110.9741769
"Tulsa, OK",OK,36.1551375,-95.98950099999999
"Urban Honolulu, HI",HI,21.3098845,-157.8581401
"Villas, NJ",NJ,39.017252,-74.941631
"Virginia Beach, VA",VA,36.8516437,-75.97921939999999
"Washington, DC-VA-MD",DC-VA-MD,39.0457549,-76.64127119999999
